"SKU","Title","Price","Status","Type","Color","Mobile Support","Design Framework","Featured Image","Featured Image Magnified","Other Images","Is Featured Design","Category","Description","Is On Sale","Is New Product","Demo Url","Hide Demo Header","Design Owner","Design Price"
"official_basic_light","Drupal Magazine Theme - Official","8000","1","Basic","light","Responsive","Twitter Bootstrap","public://drupal-magazine-theme-official-light-462x392.jpg","public://drupal-7-magazine-themes-official-light-924x784.jpg","","True","Magazine - News","please, contact for complete description","False","False","http://theme20.com/demo/official/Ex_magazine_light_pink.html","no","","$0.00"
"official_plus_light","Official Plus Light","15000","1","Plus","light","Responsive","Twitter Bootstrap","public://drupal-magazine-theme-official-light-462x392_0.jpg","public://drupal-7-magazine-themes-official-light-924x784_0.jpg","","False","Magazine - News","please, contact us for complete description","False","False","http://theme20.com/demo/official/Ex_magazine_light_pink.html","no","","$0.00"
"official_ultimate_light","Official Ultimate Light","30000","1","Ultimate","light","Responsive","Twitter Bootstrap","public://drupal-magazine-theme-official-light-462x392_1.jpg","public://drupal-7-magazine-themes-official-light-924x784_1.jpg","","False","Magazine - News","please, contact us for complete description","False","False","http://theme20.com/demo/official/Ex_magazine_light_pink.html","no","","$0.00"
"official_basic_dark","Official Basic Dark","8000","1","Basic","dark","Responsive","Twitter Bootstrap","public://drupal-news-theme-official-dark-462x392.jpg","public://drupal-newspaper-theme-official-dark-924x784.jpg","","False","Magazine - News","please, contact us for complete description","False","False","http://theme20.com/demo/official/Ex_magazine_light_pink.html","no","","$0.00"
"official_plus_dark","Official Plus Dark","15000","1","Plus","dark","Responsive","Twitter Bootstrap","public://drupal-news-theme-official-dark-462x392_0.jpg","public://drupal-newspaper-theme-official-dark-924x784_0.jpg","","False","Magazine - News","please, contact us for complete description","False","False","http://theme20.com/demo/official/Ex_magazine_light_pink.html","no","","$0.00"
"official_ultimate_dark","Official Ultimate Dark","30000","1","Ultimate","dark","Responsive","Twitter Bootstrap","public://drupal-news-theme-official-dark-462x392_1.jpg","public://drupal-newspaper-theme-official-dark-924x784_1.jpg","","False","Magazine - News","please, contact us for complete description","False","False","http://theme20.com/demo/official/Ex_magazine_light_pink.html","no","","$0.00"
